Date,Crypto,Likes,Retweets,Replies,Views,positive_score_likes,positive_score_retweets,positive_score_views,neutral_score_likes,neutral_score_retweets,neutral_score_views,negative_score_likes,negative_score_retweets,negative_score_views,price,market_cap,volume
2024-10-04,DOGE,6758,1109,502,232692,0.4951053333959751,0.2732735738683499,0.6185076800188747,0.4384454264861644,0.6751944205554554,0.3158143271114026,0.066449244173646,0.0515319917037872,0.0656779989956036,0.10503240487770349,15341812912.876862,972749810.1302891
2024-10-04,ETH,1601,212,303,109393,0.8922419461386634,0.8885065218679246,0.8615911322971488,0.0387713647898188,0.0288620480754716,0.0600408842359337,0.0689866833603997,0.082631433985849,0.0783679859007249,2348.0048369247393,282601960212.3656,18771995105.191242
2024-10-04,MAGA,10204,3248,1014,356007,0.6052032032820462,0.5766985180541871,0.6566014289162854,0.3299970126593493,0.3653877174941502,0.295295134288191,0.0647998033716189,0.0579137869913793,0.0481034545007851,2.9497352048271486,135646064.15331626,5904403.543175931
2024-10-04,NEAR,4348,1105,184,189995,0.7324913959174334,0.7096203141122172,0.638541615854212,0.217604246898114,0.2464195358714931,0.3088102547020079,0.0499043282720791,0.0439601205438914,0.0526481172372536,4.627796843239543,5121690577.485871,445574725.4476027
2024-10-04,PEPE,3997,442,269,327559,0.8266024996707532,0.832576462918552,0.8191615948162866,0.041533105958719,0.0340669623891402,0.0531415387935242,0.1318644035166374,0.1333565632126696,0.1276968920500673,8.632603110211776e-06,3629958399.6600175,1888416770.1106303
2024-10-04,SOLANA,879,168,247,69872,0.8233922262229806,0.8087485521428571,0.8220214706115468,0.0486871094558589,0.0376051321744047,0.0593099003506655,0.1279206701353811,0.1536463232083333,0.1186686283229476,136.65393647537826,64050560287.44469,3660493468.511928
2024-10-04,XRP,1780,331,225,158049,0.8306201140646066,0.8561048935951662,0.7066739291920859,0.0489591438061797,0.0526677552145015,0.1207106161199406,0.1204207520853932,0.0912273747220543,0.1726154504002619,0.5216590897682057,29492016906.451572,2514792835.7085347
2024-10-05,BITCOIN,5218,718,1105,450938,0.8612919587734764,0.8671432821587745,0.877549171999898,0.071109122302798,0.0668014605640668,0.0638458913862836,0.0675989216399003,0.0660552634679665,0.0586049412914502,62103.01047283253,1226663492771.043,30349059838.684578
2024-10-05,DOGE,3326,653,234,151198,0.8761344980907998,0.8789579086523738,0.8665439567618618,0.0690447871089897,0.0746982109770291,0.0629447471733918,0.0548207258854479,0.0463438921209801,0.0705113083569954,0.10928889300399085,15967882266.593582,764018435.1600564
2024-10-05,ETH,655,98,144,56540,0.8818708340763358,0.9062943226530614,0.8910918507847542,0.0492205322992366,0.0299903937142857,0.0535140422690307,0.0689086342122137,0.0637152752448979,0.0553941204616731,2416.9184055552637,290928251441.44226,15230883994.399237
