Date,Crypto,Likes,Retweets,Replies,Views,positive_score_likes,positive_score_retweets,positive_score_views,neutral_score_likes,neutral_score_retweets,neutral_score_views,negative_score_likes,negative_score_retweets,negative_score_views
2024-10-09,PEPE,3682,229,364,395606,0.8062731928381314,0.7061562503056769,0.8429135285042947,0.023019553363117867,0.030315506722707424,0.021051560447385785,0.17070719714475827,0.26352821018777295,0.1360348449318994
2024-10-09,SOLANA,1771,283,377,260441,0.8426888815584413,0.8279771877385158,0.8399318695570206,0.03329469978769057,0.027470985239222617,0.025935928600169324,0.12401642412252964,0.1445518353321555,0.13413221390283406
2024-10-09,XRP,2512,378,243,161944,0.8739278005971337,0.8740106307936506,0.8782485647177418,0.047398897202826445,0.05289692558730158,0.0545372153525756,0.07867333137181529,0.07309247193121693,0.06721425331110137
2024-10-10,BITCOIN,2809,489,346,241631,0.7275518836290493,0.7457946217177914,0.6882349243804188,0.1265300455971876,0.16377487811042946,0.1546423913784419,0.14591808721110716,0.09043053314110429,0.15712269730174108
2024-10-10,DOGE,4842,1252,487,105962,0.9113109347996697,0.911969495942492,0.876893891399445,0.04850381784531185,0.04833112998083067,0.07592162852299879,0.040185242727591906,0.03969936960623003,0.047184484773843474
2024-10-10,ETH,1223,227,364,146984,0.813688128035977,0.8019875408898678,0.797506310451083,0.11146565787080948,0.10740817591409693,0.09717407151015076,0.07484623505641863,0.09060430646255507,0.105319649521601
2024-10-10,MAGA,4379,724,612,121648,0.8804143256209181,0.8763649204005525,0.852720812247205,0.07625899085932862,0.07803107384530386,0.10517911200961791,0.04332669110733045,0.04560402019751381,0.04210009113305604
2024-10-10,NEAR,4561,625,492,705828,0.7928327091054593,0.731531504,0.7441089109026576,0.13485835137031352,0.21532291508800003,0.1882022159442938,0.07230894848059637,0.0531456116832,0.06768890042157154
2024-10-10,PEPE,18718,2047,454,571349,0.7460146320237204,0.7458044436492428,0.7548417585518273,0.06094883110914627,0.05656375226282364,0.11444419524259077,0.1930365138623785,0.19763178133219347,0.13071405436276076
2024-10-10,SOLANA,919,240,393,49307,0.8073815488792164,0.7816630096249999,0.8062013122693534,0.05956933442927095,0.03301409020625,0.06708853139042124,0.13304911207508163,0.18532288303750002,0.1267101466181678
2024-10-10,XRP,3155,595,233,157178,0.875335404378764,0.8760153845042018,0.8599928581008411,0.05743450928906496,0.060801574944537806,0.07189190104457367,0.0672300656792393,0.0631830212302521,0.06811522453760706
